Anin	آنين
Augustów	آوگوستوف
Barlinek	بارليناک
Bartoszyce	بارتوشوتسا
Bemowo	باموو
Biała	بياوا
Białogard	بياووگارت
Białystok	بياووستوک
Biebrza	بيابژا
Bielawa	بيالاوا
Bielsk	بيالسک
Bielsko	بيالسکو
Biskupiec	بيسکوپياتس
Biłgoraj	بيوگوراي
Bochnia	بوخنا
Bolesławiec	بولاسواوياتس
Borków	بورکوف
Braniewo	براناوو
Brda	بردا
Brodnica	برودنيتسا
Brzeg	بژاک
Bródno	برودنو
Buchnik	بوخنيک
Buraków	بوراکوف
Busko	بوسکو
Bydgoszcz	بودگوشتش
Bytom	بوتوم
Bytów	بوتوف
Błota	بووتا
Chabdzin	خابدژين
Chełm	خاوم
Chełmno	خاومنو
Chodzież	خودژاش
Chojnice	خوينيتسا
Chorzów	خوژوف
Choszczno	خوشتشنو
Chrzanów	خشانوف
Ciechanów	تشاخانوف
Cieszyn	تشاشون
Czarna	تشارنا
Czersk	تشارسک
Czyste	تشوستا
Częstochowa	تشاستوخووا
Człuchów	تشووخوف
Dabrówka	دابروفکا
Darłowo	داروو
Dawidy	داويدو
Dunajec	دوناياتس
Dzierżoniów	دژارژونوف
Dąbrowa	دومبرووا
Dąbrówka	دومبروفکا
Dęblin	دامبلين
Dębno	دامبنو
Elbląg	البلونک
Ełk	اوک
Falenty	فالانتو
Galicja	گاليتسيا
Garwolin	گاروولين
Gdańsk	گدانسک
Gdynia	گدونا
Giżycko	گيژوتسکو
Gliwice	گليويتسا
Gniezno	گنازنو
Gocławek	گوتسواواک
Goleniów	گولانوف
Gorlice	گورليتسا
Gostynin	گوستونين
Grabów	گرابوف
Grajewo	گراياوو
Gryfice	گروفيتسا
Gryfino	گروفينو
Górce	گورتسا
Głda	گودا
Głogów	گووگوف
Hajnówka	خاينوفکا
Hel	خال
Hrubieszów	خروبياشوف
Imielin	ايميالين
Inowrocław	اينووروتسواف
Iława	ايواوا
Jabłonna	يابووننا
Janki	يانکي
Janów	يانوف
Jarocin	ياروتشين
Jarosław	ياروسواف
Jasło	ياسوو
Jawor	ياوور
Jaworowa	ياوورووا
Jelonki	يالونکي
Jeziorka	ياژورکا
Jeziorna	ياژورنا
Jędrzejów	ياندژايوف
Kabaty	کاباتو
Kalisz	کاليش
Katowice	کاتوويتسا
Kawęczyn	کاواتشون
Kielce	کيالتسا
Kiełpin	کياوپين
Klarysew	کلاروساف
Knyszyn	کنوشون
Kobyłka	کوبووکا
Kolno	کولنو
Koluszki	کولوشکي
Konin	کونين
Koszalin	کوشالين
Kowale	کووالا
Kozienice	کوژانيتسا
Koło	کوو
Kołobrzeg	کووبژاک
Kościan	کوشتشان
Kościerzyna	کوشتشاژونا
Kraków	کراکوف
Krasnystaw	کراسنوستاف
Krosno	کروسنو
Krotoszyn	کروتوشون
Krzyż	کشوش
Kutno	کوتنو
Kwidzyń	کفيدزون
Kępa	کامپا
Kępno	کامپنو
Kętrzyn	کانتشون
Kłodzko	کووتسکو
Las	لاس
Legnica	لاگنيتسا
Leszno	لاشنو
Lesznowola	لاشنوولا
Lipno	ليپنو
Lubaczów	لوباتشوف
Lubartów	لوبارتوف
Lubań	لوبان
Lubiń	لوبين
Lublin	لوبلين
Lubliniec	لوبليناتس
Lębork	لامبورک
Magdalenka	ماگدالانکا
Malbork	مالبورک
Mamry	مامرو
Marki	مارکي
Marymont	مارومونت
Marysin	ماروشين
Mazowsze	مازوفشا
Małkinia	ماوکينا
Małopolska	ماووپولسکا
Miastko	مياستکو
Michałowice	ميخاوويتسا
Miechów	مياخوف
Mielec	ميالاتس
Mirków	ميرکوف
Międzeszyn	مياندزاشون
Międzyrzec	مياندزوژاتس
Międzyrzecz	مياندزوژاتش
Mińsk	مينسک
Moczydło	موتشودوو
Mogilno	موگيلنو
Mokotów	موکوتوف
Morąg	مورونک
Mosina	موشينا
Mrągowo	مرونگوو
Muranów	مورانوف
Muszyna	موشونا
Mława	مواوا
Nadma	نادما
Nakło	ناکوو
Narew	ناراف
Natolin	ناتولين
Nidzica	نيدژيتسا
Nisko	نيسکو
Noteć	نوتاتش
Nowa	نووا
Nowy	نوو
Nysa	نوسا
Ochota	اوخوتا
Odra	اودرا
Oleśnica	اولاشنيتسا
Olsztyn	اولشتون
Opoczno	اوپوتشنو
Ostrowiec	اوسترووياتس
Ostrołęka	اوسترووانکا
Ostrzeszów	اوستشاشوف
Ostróda	اوسترودا
Ostrów	اوستروف
Ostrów	اوستروف
Otwock	اوتفوتسک
Oława	اوواوا
Oświęcim	اوشوياتشيم
Pabjanice	پابيانيتسا
Pilica	پيليتسا
Piotrków	پيوترکوف
Pisz	پيش
Piła	پيوا
Pleszew	پلاشاف
Podolszyn	پودولشون
Pomorze	پوموژا
Powsin	پوفشين
Powsinek	پوفشيناک
Poznań	پوزنان
Praga	پراگا
Prosna	پروسنا
Prudnik	پرودنيک
Pruszków	پروشکوف
Przedbórz	پشادبوش
Przemyśl	پشاموشل
Puck	پوتسک
Pustelnik	پوستالنيک
Puławy	پوواوو
Pułtusk	پووتوسک
Pyry	پورو
Pyzyce	پوزوتسا
Płock	پووتسک
Płoty	پووتو
Płońsk	پوونسک
Płudy	پوودو
Rabka	راپکا
Racibórz	راتشيبوش
Radom	رادوم
Radomsko	رادومسکو
Radzyń	رادزون
Rakowiec	راکووياتس
Raków	راکوف
Rawicz	راويتش
Rembertów	رامبارتوف
Rogożno	روگوژنو
Rybie	روبيا
Rybnik	روبنيک
Rypin	روپين
Rzeszów	ژاشوف
Sadyba	سادوبا
Sandomierz	ساندومياش
Sanok	سانوک
Saska	ساسکا
Siedlce	شادلتسا
Sieradz	شاراتس
Skarżysko	سکارژوسکو
Skierniewice	سکيارناويتسا
Skwierzyna	سکفياژونا
Sochaczew	سوخاتشاف
Sokołów	سوکووف
Sokółka	سوکووکا
Solec	سولاتس
Sosnowiec	سوسنووياتس
Stargard	ستارگارت
Starogard	ستاروگارت
Staszów	ستاشوف
Struga	ستروگا
Strzelin	ستشالين
Stębark	ستامبارک
Sucha	سوخا
Suwałki	سوواوکي
Szczecin	شتشاتشين
Szczecinek	شتشاتشيناک
Szczytno	شتشوتنو
Sławno	سواونو
Słubice	سووبيتسا
Słupca	سووپتسا
Słupsk	سووپسک
Służew	سووژاف
Służewiec	سووژاوياتس
Tarchomin	تارخومين
Targówek	تارگوواک
Tarnów	تارنوف
Tczew	تتشاف
Tomaszów	توماشوف
Toruń	تورون
Tuchola	توخولا
Turek	توراک
Turów	توروف
Tychy	توخو
Ursus	اورسوس
Ustka	اوستکا
Warta	وارتا
Wawer	واوار
Wałbrzych	واوبژوخ
Wielkopolska	ويالکوپولسکا
Wieluń	ويالون
Wieprz	وياپش
Wilanów	ويلانوف
Wisła	ويسوا
Wola	وولا
Wołomin	وومين
Wrocław	وروتسواف
Września	وژاشنا
Wschowa	فسخووا
Wyczółki	ووتشووکي
Wygoda	ووگودا
Wyszków	ووشکوف
Wólka	وولکا
Wągrowiec	وونگرووياتس
Węgorzewo	وانگوژاوو
Włocławek	ووتسواواک
Włodawa	ووداوا
Zabrze	زابژا
Zakopane	زاکوپانا
Zambrów	زامبروف
Zamość	زاموشتش
Zawady	زاوادو
Zawiercie	زاويارتشا
Zgierz	زگياش
Zielonka	ژالونکا
Zyrardów	زوراردوف
Złocieniec	زووتشاناتس
Złotów	زووتوف
Łady	اوادو
Łancut	اوانتسوت
Łapy	اواپو
Łask	اواسک
Łeba	اوابا
Łobez	اووباس
Łomianki	اووميانکي
Łomża	اوومژا
Łowicz	اوويتش
Łuków	اووکوف
Łyna	اوونا
Łódź	اوودش
Łęczna	اواتشنا
Łęczyca	اواتشوتسا
Łęg	اوانک
Śląsk	شلوسک
Śniardwy	شناردوو
Śrem	شرام
Środa	شرودا
Świdwin	شويدوين
Świebodzin	شويابودژين
Świecie	شوياتشا
Świętokrzyskie	شويانتوکشوسکيا
Żary	ژارو
Żerań	ژاران
bąk	بونک
bas	باس
bezwzględny	بازوزگلاندنو
brzmi	بژمي
bum	بوم
buk	بوک
chichot	شيخوت
chór	خور
chrząszcz	خشوشتش
ciebie	تشابيا
ćma	تشما
co	تسو
czysta	تشوستا
dom	دوم
drzemka	دژامکا
dżem	دژام
dziany	دژانو
dzwon	دزوون
dźwięk	دژويانک
futro	فوترو
gęba	گامبا
gips	گيپس
gmin	گمين
hak	خاک
historia	شيستوريا
Idzi	ايدژي
kat	کات
kawka	کافکا
kąt	کونت
kmin	کمين
koń	کون
kot	کوت
krok	کروک
król	کرول
krwiak	کرفياک
Krzysiek	کشوشاک
kwiat	کفيات
jakby	ياگبو
jutro	يوترو
łaska	اواسکا
łódka	اووتکا
lęg	لانک
liść	ليشتش
mały	ماوو
masa	ماسا
maź	ماش
mazi	ماژي
mazią	ماژو
móżdżkowi	موشتشکووي
mórz	موش
miś	ميش
mysz	موش
nici	نيتشي
niebo	نابو
noga	نوگا
nosi	نوشي
pas	پاس
pieniądze	پيانوندزا
piszący	پيشونتسو
pole	پولا
pójdźka	پويتشکا
przestępstwo	پشاستامپستفو
radzka	راتسکا
raz	راس
rąbać	رومباتش
ręka	رانکا
rów	روف
rydz	روتس
rzeka	ژاکا
Strwiąż	سترفيوش
Szczebrzeszynie	شتشابژاشونا
sum	سوم
szum	شوم
śruba	شروبا
także	تاگژا
ten	تان
tom	توم
trzcinie	تشتشينا
trzysta	تشوستا
wart	وارت
wąż	ووش
węże	واژا
wór	وور
wstrząs	فستشوس
wstrząśnięty	فستشوشنانتو
ząb	زومپ
zad	زات
zero	زارو
żona	ژونا
źrebię	ژرابيا
