ሃረሪ	هارري
ሆሣዕና	هوساعونا
ላሊበላ	لاليبلا
ሐረር	هاررو
መቀሌ	مکله
ማይጨው	مايوتشاوو
ምሁር	موهورو
ሞጆ	مودژو
ሮቤ	روبه
ሰመራ	سمرا
ሶማሌ	سوماله
ሶዶ	سودو
ሻሸመኔ	شاشمنه
ቢሾፍቱ	بيشوفوتو
ባሕር-ዳር	باهورو-دارو
ትግራይ	توگورايو
ትግራይ ክልል	توگورايو کولولو
ነቀምት	نکموتو
አላማጣ	ايلاماتا
አማራ	ايمارا
አምበር	ايموبرو
አምቦ	ايموبو
አረቅጥ	ايرکوتو
አርሲ ነገሌ	ايروسي نگله
አርባ ምንጭ	ايروبا مونوتشو
አሶሳ	ايسوسا
አክሱም	ايکوسومو
አዋሳ	اياواسا
አዲስ አበባ	ايديسو ايببا
አዲግራት	ايديگوراتو
አዳማ	ايداما
አድዋ	ايدواوا
አጋሮ	ايگارو
አፋር	ايفارو
እምድብር	اومودوبورو
እንዳስላሴ	اونوداسولاسه
እዣ	اوژا
ኦሮሚያ	اورومييا
ኪስታኒ	کيسوتاني
ኮምቦልቻ	کوموبولوتشا
ወልቂጤ	اولوکيته
ወልዲያ	اولودييا
ይርጋለም	يوروگالمو
ደሴ	دسه
ደብረ ማርቆስ	دبوره ماروکوسو
ደብረ ብርሃን	دبوره بوروهانو
ደገሃቡር	دگهابورو
ዲላአገና	ديلاايگنا
ጅማ	دژوما
ጅጅጋ	دژودژوگا
ጉመር ቡታጂራ	گومرو بوتادژيرا
ጋምቤላ	گاموبيلا
ጎንደር	گونودرو
ፍንፍኔ	فونوفونه
