# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	അസൈംസന ടാപൂ
ਅੰਡੋਰਾ	അഡോരാ
ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	സയുകത അരബ അമീരാത
ਅਫ਼ਗਾਨਿਸਤਾਨ	അഫഗാനിസതാന
ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ	ഐംടീഗുആ അതേ ബാരബുഡാ
ਅੰਗੁਇਲਾ	അഗുഇലാ
ਅਲਬਾਨੀਆ	അലബാനീആ
ਅਰਮੀਨੀਆ	അരമീനീആ
ਅੰਗੋਲਾ	അഗോലാ
ਅੰਟਾਰਕਟਿਕਾ	അടാരകടികാ
ਅਰਜਨਟੀਨਾ	അരജനടീനാ
ਅਮੈਰੀਕਨ ਸਮੋਆ	അമൈരീകന സമോആ
ਆਸਟਰੀਆ	ആസടരീആ
ਆਸਟ੍ਰੇਲੀਆ	ആസട്രേലീആ
ਅਰੂਬਾ	അരൂബാ
ਅਲੈਂਡ ਟਾਪੂ	അലൈംഡ ടാപൂ
ਅਜ਼ਰਬਾਈਜਾਨ	അജരബാഈജാന
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	ബോസനീആ അതേ ഹരജേഗോവീനാ
ਬਾਰਬਾਡੋਸ	ബാരബാഡോസ
ਬੰਗਲਾਦੇਸ਼	ബഗലാദേസ
ਬੈਲਜੀਅਮ	ബൈലജീഅമ
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	ബുരകീനാ ഫാസോ
ਬੁਲਗਾਰੀਆ	ബുലഗാരീആ
ਬਹਿਰੀਨ	ബഹിരീന
ਬੁਰੁੰਡੀ	ബുരുഡീ
ਬੇਨਿਨ	ബേനിന
ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ	സേംട ബാരഥേലേമീ
ਬਰਮੂਡਾ	ബരമൂഡാ
ਬਰੂਨੇਈ	ബരൂനേഈ
ਬੋਲੀਵੀਆ	ബോലീവീആ
ਕੈਰੇਬੀਆਈ ਨੀਦਰਲੈਂਡ	കൈരേബീആഈ നീദരലൈംഡ
ਬ੍ਰਾਜ਼ੀਲ	ബ്രാജീല
ਬਹਾਮਾਸ	ബഹാമാസ
ਭੂਟਾਨ	ഭൂടാന
ਬੌਵੇਟ ਟਾਪੂ	ബൌവേട ടാപൂ
ਬੋਟਸਵਾਨਾ	ബോടസവാനാ
ਬੇਲਾਰੂਸ	ബേലാരൂസ
ਬੇਲੀਜ਼	ബേലീജ
ਕੈਨੇਡਾ	കൈനേഡാ
ਕੋਕੋਸ (ਕੀਲਿੰਗ) ਟਾਪੂ	കോകോസ (കീലിഗ) ടാപൂ
ਕਾਂਗੋ - ਕਿੰਸ਼ਾਸਾ	കാംഗോ - കിസാസാ
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	കാംഗോ ലോകതതരീ ഗണരാജ
ਕੇਂਦਰੀ ਅਫ਼ਰੀਕੀ ਗਣਰਾਜ	കേംദരീ അഫരീകീ ഗണരാജ
ਕਾਂਗੋ - ਬ੍ਰਾਜ਼ਾਵਿਲੇ	കാംഗോ - ബ്രാജാവിലേ
ਕਾਂਗੋ ਗਣਰਾਜ	കാംഗോ ഗണരാജ
ਸਵਿਟਜ਼ਰਲੈਂਡ	സവിടജരലൈംഡ
ਕੋਟ ਡੀਵੋਆਰ	കോട ഡീവോആര
ਆਇਵਰੀ ਕੋਸਟ	ആഇവരീ കോസട
ਕੁੱਕ ਟਾਪੂ	കുക ടാപൂ
ਚਿਲੀ	ചിലീ
ਕੈਮਰੂਨ	കൈമരൂന
ਚੀਨ	ചീന
ਕੋਲੰਬੀਆ	കോലബീആ
