# Baby names
ଅକର୍ଯସୁଟ	اكریسوط
ଅଚଲା	اتشلا
ଅଚିଟ୍	اتشیط
ଅଦିତା	ادیتا
ଅଦ୍ବୈଯା	ادباییا
ଅଫ୍ର	ابهر
ଅବିଶ	ابیش
ଅବ୍ଭିନବ୍	اببهینب
ଅଭିନତ	ابهینت
ଅଭିନିତି	ابهینیتی
ଅଭିପ୍ରିତି	ابهیبریتی
ଅଭିମନି	ابهیمنی
ଅଭିରତି	ابهیرتی
ଅଭିସର୍	ابهیسر
ଆଅଶ୍ନା	آاشنا
ଆଇଶ୍	آيش
ଆଗନେଯ	آجنیی
ଆଗନେୟା	آجنییا
ଆଘନ୍ୟା	آجهنیا
ଆଟିଶ୍	آطیش
ଆଡିତ୍	آدیت
ଆଡ୍ରିଟି	آدریطی
ଆତ୍ମିକ	آتمیك
ଆଦବିକା	آدبیكا
ଆଦିନାଥ୍	آدیناته
ଆଧାବ୍	آدهاب
ଆନଗଟ୍	آنجط
ଆନନ୍ଦସ୍ବରୁପ୍	آنندسبروب
ଆନଶଲ୍	آنشل
ଆନାଲ୍	آنال
ଆପଟ୍	آبط
ଆମୁକଥା	آموكتها
ଆଯୁ	آیو
ଆରଣା	آرنا
ଆରଥ୍	آرته
ଆରବ୍	آرب
ଆରଭି	آربهی
ଆରିଟ୍	آریط
ଆରୁନା	آرونا
ଆରୁଶା	آروشا
ଆର୍ଥୀ	آرتهی
ଆର୍ନବ୍	آرنب
ଆରୟାନ୍	آریان
ଆରୟାମନ୍	آریامن
ଆଲିୟଃ	آلییها
ଆଶାଲତା	آشالتا
ଆସ୍ତ	آست
ଆସ୍ମି	آسمی
ଇକ୍ଶିତା	إكشیتا
ଇଟନ୍	إطن
ଇଡିକା	إدیكا
ଇନକନ୍ଟା	إنكنطا
ଇନିଯବନ୍	إنییبن
ଇନେଶ୍	إنیش
ଇନ୍ଡରେଶ୍	إندریش
ଇନ୍ଡୁକାନ୍ଟ୍	إندوكانط
ଇନ୍ଡୁଜ୍	إندوج
ଇନ୍ଡ୍ରଯନି	إندرینی
ଇପ୍ସିଟା	إبسیطا
ଇବାନ୍କା	إبانكا
ଇଭ୍ଯା	إبهیا
ଇମ୍ପାଲ୍	إمبال
ଇମ୍ଲା	إملا
ଇରାନା	إرانا
ଇରେନ୍ପ୍ରୀଟ୍	إرینبریط
ଇଲବେନିଲ୍	إلبینیل
ଇଲିଶା	إلیشا
ଇଶା କ୍ରିଟିକ୍	إشا كریطیك
ଇଶି	إشی
ଇଶିର୍	إشیر
ଇସାଇଅରାସୁ	إساياراسو
ଇସ୍ଶୁ	إسشو
ଇହା	إها
ଇହାମ୍	إهام
ଈଶାନି	إشانی
ଉଜାଲା	وجالا
ଉଜ୍ଜାନିନି	وججانینی
ଉଟନ୍କା	وطنكا
ଉଟ୍କର୍ଶା	وطكرشا
ଉଡାନ୍ଟିକା	ودانطیكا
ଉଡିଶା	ودیشا
ଉଡେଯ୍	ودیی
ଉଡ୍ଡିଶ୍	وددیش
ଉଡ୍ଯମ୍	ودیم
ଉତାମି	وتامی
ଉତିରା	وتیرا
ଉନ୍ନତିଶ୍	وننتیش
ଉନ୍ନଭ୍	وننبه
ଉନ୍ନିକ୍ରିଶ୍ନନ୍	وننیكریشنن
ଉନ୍ମାଇବିଲମ୍ବି	ونمايبیلمبی
ଉପାନ୍ଶୁ	وبانشو
ଉପେନ୍ଡ୍ରା	وبیندرا
ଉପ୍ଜୀତ୍	وبجیت
ଉପ୍ମା	وبما
ଉମା	وما
ଉର୍ବଶି	وربشی
ଉର୍ବଶୀ	وربشی
ଉର୍ବିଶ୍	وربیش
ଉଶା ଲକ୍ଶି	وشا لكشی
ଉଶ୍ନିସିନ୍	وشنیسین
ଉସ୍ରି	وسری
ଊର୍ଜିଟ୍	ورجیط
ଏଇରାବଟି	یيرابطی
ଏକଚକ୍ରା	یكتشكرا
ଏକଚନ୍ଡ୍ର	یكتشندر
ଏକଚିତ୍	یكتشیت
ଏକବିରା	یكبیرا
ଏକଲିଙା	یكلینجا
ଏକ୍ଟା	یكطا
ଏକ୍ଲବ୍ଯ	یكلبی
ଏଗୈଅରସୁ	یجایارسو
ଏଡୋମ୍	یدوم
ଏଦସ୍	یدس
ଏରା	یرا
ଏଲବେନ୍ଦନ୍	یلبیندن
ଏଲିକା	یلیكا
ଏଲିଲ୍ବେନ୍ଡନ୍	یلیلبیندن
ଏଶଞା	یشنا
ଏଶନି	یشنی
ଏଶନ୍ଶ୍	یشنش
ଏଶ୍ନି	یشنی
ଏଶ୍ମା	یشما
ଓଜାସ୍ବୁଇଟା	اوجاسبويطا
ଓଜାସ୍ବୁଇନି	اوجاسبوينی
ଓବିଶ୍କର୍	اوبیشكر
ଓମାନା	اومانا
ଓମାର୍ଜୀଟ୍	اومارجیط
ଓମ୍ଜା	اومجا
ଓମ୍ଡୁଟ୍ଟ୍	اومدوطط
କଟେଲ୍ଯ୍ନ୍	كطیلین
କନକବଟି	كنكبطی
କନିସା	كنیسا
କନ୍ଡର୍ପା	كندربا
କନ୍ନକି	كننكي
କନ୍ଶ୍	كنش
କନ୍ହୈଯାଲାଲ୍	كنهيیالال
କପିଲେଶ୍	كبیلیش
କପୀଶ୍	كبیش
କପୀଶ୍ବୁଅର୍	كبیشبوار
କବଲ୍	كبل
କବିତା	كبیتا
କବିନଯା	كبینیا
