# Territory names from CLDR
ଆଣ୍ଡୋରା	āṇḍōrā
ସଂଯୁକ୍ତ ଆରବ ଏମିରେଟସ୍	sanyukta āraba ēmirēṭas
ଆଫାଗାନିସ୍ତାନ୍	āphāgānistān
ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	āṇṭigu'ā ēbaṁ bārabudā
ଆଙ୍ଗୁଇଲ୍ଲା	āṅgu'illā
ଆଲବାନିଆ	ālabāni'ā
ଆର୍ମେନିଆ	ārmēni'ā
ଆଙ୍ଗୋଲା	āṅgōlā
ଆର୍ଣ୍ଟକଟିକା	ārṇṭakaṭikā
ଆର୍ଜେଣ୍ଟିନା	ārjēṇṭinā
ଆମେରିକାନ୍ ସାମୋଆ	āmērikān sāmō'ā
ଅଷ୍ଟ୍ରିଆ	aṣṭri'ā
ଅଷ୍ଟ୍ରେଲିଆ	aṣṭrēli'ā
ଆରୁବା	ārubā
ଆଲାଣ୍ଡ ଆଇସଲ୍ୟାଣ୍ଡ	ālāṇḍa ā'isalẏāṇḍa
ଆଜେରବାଇଜାନ୍	ājērabā'ijān
ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	bōsani'ā ēbaṁ harjagōbhinā
ବାରବାଡୋସ୍	bārabāḍōs
ବାଙ୍ଗଲାଦେଶ୍	bāṅgalādēś
ବେଲଜିୟମ୍	bēlajiẏam
ବୁର୍କିନୋ ଫାସୋ	burkinō phāsō
ବୁଲଗେରିଆ	bulagēri'ā
ବାହାରିନ୍	bāhārin
ବୁରୁନ୍ଦି	burundi
ବେନିନ୍	bēnin
ସେଣ୍ଟ ବାର୍ଥେଲେମି	sēṇṭa bārthēlēmi
ବରମୁଡା	baramuḍā
ବ୍ରୁନେଇ	brunē'i
ବୋଲଭିଆ	bōlabhi'ā
ବ୍ରାଜିଲ୍	brājil
ବାହାମାସ୍	bāhāmās
ଭୁଟାନ୍	bhuṭān
ବୌଭେଟ୍ ଆଇସଲ୍ୟାଣ୍ଡ	baubhēṭ ā'isalẏāṇḍa
ବୋଟସ୍ବାନ୍	bōṭasbān
ବେଲାରୁଷ୍	bēlāruṣ
ବେଲିଜ୍	bēlij
କାନାଡା	kānāḍā
