# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	அஸைஂஸந டாபூ
ਅੰਡੋਰਾ	அடோரா
ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	ஸயுகத அரப அமீராத
ਅਫ਼ਗਾਨਿਸਤਾਨ	அபகாநிஸதாந
ਐਂਟੀਗੁਆ ਅਤੇ ਬਾਰਬੁਡਾ	ஐஂடீகுஆ அதே பாரபுடா
ਅੰਗੁਇਲਾ	அகுஇலா
ਅਲਬਾਨੀਆ	அலபாநீஆ
ਅਰਮੀਨੀਆ	அரமீநீஆ
ਅੰਗੋਲਾ	அகோலா
ਅੰਟਾਰਕਟਿਕਾ	அடாரகடிகா
ਅਰਜਨਟੀਨਾ	அரஜநடீநா
ਅਮੈਰੀਕਨ ਸਮੋਆ	அமைரீகந ஸமோஆ
ਆਸਟਰੀਆ	ஆஸடரீஆ
ਆਸਟ੍ਰੇਲੀਆ	ஆஸட்ரேலீஆ
ਅਰੂਬਾ	அரூபா
ਅਲੈਂਡ ਟਾਪੂ	அலைஂட டாபூ
ਅਜ਼ਰਬਾਈਜਾਨ	அஜரபாஈஜாந
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	போஸநீஆ அதே ஹரஜேகோவீநா
ਬਾਰਬਾਡੋਸ	பாரபாடோஸ
ਬੰਗਲਾਦੇਸ਼	பகலாதேஸ
ਬੈਲਜੀਅਮ	பைலஜீஅம
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	புரகீநா பாஸோ
ਬੁਲਗਾਰੀਆ	புலகாரீஆ
ਬਹਿਰੀਨ	பஹிரீந
ਬੁਰੁੰਡੀ	புருடீ
ਬੇਨਿਨ	பேநிந
ਸੇਂਟ ਬਾਰਥੇਲੇਮੀ	ஸேஂட பாரதேலேமீ
ਬਰਮੂਡਾ	பரமூடா
ਬਰੂਨੇਈ	பரூநேஈ
ਬੋਲੀਵੀਆ	போலீவீஆ
ਕੈਰੇਬੀਆਈ ਨੀਦਰਲੈਂਡ	கைரேபீஆஈ நீதரலைஂட
ਬ੍ਰਾਜ਼ੀਲ	ப்ராஜீல
ਬਹਾਮਾਸ	பஹாமாஸ
ਭੂਟਾਨ	பூடாந
ਬੌਵੇਟ ਟਾਪੂ	பௌவேட டாபூ
ਬੋਟਸਵਾਨਾ	போடஸவாநா
ਬੇਲਾਰੂਸ	பேலாரூஸ
ਬੇਲੀਜ਼	பேலீஜ
ਕੈਨੇਡਾ	கைநேடா
ਕੋਕੋਸ (ਕੀਲਿੰਗ) ਟਾਪੂ	கோகோஸ (கீலிக) டாபூ
ਕਾਂਗੋ - ਕਿੰਸ਼ਾਸਾ	காஂகோ - கிஸாஸா
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	காஂகோ லோகததரீ கணராஜ
ਕੇਂਦਰੀ ਅਫ਼ਰੀਕੀ ਗਣਰਾਜ	கேஂதரீ அபரீகீ கணராஜ
