#	coverageLevels.txt	
#	Copyright © 2022 Unicode, Inc.
#	CLDR data files are interpreted according to the LDML specification (http://unicode.org/reports/tr35/)
#	For terms of use, see http://www.unicode.org/copyright.html
#	
#	Provides the Coverage Level of locales at Basic or Above.
#	For more info,see the Locale Coverage Chart for this version.
#	Generated by ShowLocaleCoverage.
#	
#Locale ;	Level
af ;	modern
am ;	modern
ar ;	modern
as ;	modern
ast ;	basic
az ;	modern
be ;	modern
bg ;	modern
bn ;	modern
br ;	moderate
brx ;	basic
bs ;	modern
bs_Cyrl ;	basic
ca ;	modern
ceb ;	moderate
chr ;	modern
cs ;	modern
cy ;	modern
da ;	modern
de ;	modern
doi ;	basic
dsb ;	modern
el ;	modern
en ;	modern
es ;	modern
et ;	modern
eu ;	modern
fa ;	modern
ff_Adlm ;	moderate
fi ;	modern
fil ;	modern
fo ;	moderate
fr ;	modern
ga ;	modern
gd ;	modern
gl ;	modern
gu ;	modern
ha ;	modern
he ;	modern
hi ;	modern
hi_Latn ;	modern
hr ;	modern
hsb ;	modern
hu ;	modern
hy ;	modern
ia ;	basic
id ;	modern
ig ;	moderate
is ;	modern
it ;	modern
ja ;	modern
jv ;	modern
ka ;	modern
kea ;	basic
kgp ;	moderate
kk ;	modern
km ;	modern
kn ;	modern
ko ;	modern
kok ;	modern
ks ;	basic
ks_Deva ;	basic
ky ;	modern
lo ;	modern
lt ;	modern
lv ;	modern
mai ;	basic
mi ;	basic
mk ;	modern
ml ;	modern
mn ;	modern
mni ;	basic
mr ;	modern
ms ;	modern
my ;	modern
ne ;	modern
nl ;	modern
nn ;	modern
no ;	modern
or ;	modern
pa ;	modern
pcm ;	modern
pl ;	modern
ps ;	modern
pt ;	modern
qu ;	moderate
rm ;	basic
ro ;	modern
ru ;	modern
sa ;	basic
sat ;	basic
sc ;	moderate
sd ;	moderate
sd_Deva ;	basic
si ;	modern
sk ;	modern
sl ;	modern
so ;	modern
sq ;	moderate
sr ;	modern
su ;	basic
sv ;	modern
sw ;	modern
ta ;	modern
te ;	modern
tg ;	basic
th ;	modern
tk ;	modern
to ;	basic
tr ;	modern
tt ;	basic
uk ;	modern
ur ;	modern
uz ;	modern
uz_Cyrl ;	basic
vi ;	modern
wo ;	basic
yo ;	moderate
yrl ;	moderate
yue ;	modern
yue_Hans ;	basic
zh ;	modern
zh_Hant ;	modern
zu ;	moderate
#EOF	
