childCode	Label	parentCode	Label
!Xu (Q5508716)	Khoisan [Other] (khi) (khi, Q3361)
"Norman" Tasmanian (Q454030)	Northeastern Tasmanian (Q705806)
'Are'are (alu) (alu, Q516)	Malaita (Q188667)
'Auhelawa (kud) (kud, Q516)	Austronesian [Other] (map) (map, Q4922)
'Auhelawa (kud) (kud, Q516)	Papuan Tip (Q303910)
A'ou (aou) (aou, Q1610999)	Kra (Q102208)
A'ou (aou) (aou, Q5640)	Kra (Q102208)
A-Pucikwar (apq) (apq, Q2846)	Great Andamanese (Q351510)
Aari (aiw) (aiw, Q749)	Aari-Gayil (Q8551601)
Aari (aiw) (aiw, Q749)	South Omotic (Q369952)
Aari-Gayil (Q8551601)	South Omotic (Q369952)
Aasáx (aas) (aas, Q5662)	South Cushitic (Q5652)
Abaga (abg) (abg, Q350795)	Kainantu–Goroka (Q321746)
Abanyom (abm) (abm, Q750)	Ekoid (Q132339)
Abar (mij) (mij, Q3472)	Southern Bantoid (Q318315)
Abau (aau) (aau, Q307356)	Sepik (Q350877)
Abaza (abq) (abq, Q2756)	Abazgi (Q466361)
Abaza (abq) (abq, Q2756)	Northwest Caucasian (Q3385)
Abazgi (Q466361)	Northwest Caucasian (Q3385)
Abejones Zapotec (Q1957073)	Zapotec (zap) (zap, Q1321)
Abenaki (Q19793)	Eastern Algonquian (Q225752)
Abercraf English (Q5560307)	English (Region Subdivision: Wales) (en-u-sd-gbwls) (en-u-sd-gbwls, Q236329)
Abidji (abi) (abi, Q3478)	Kwa (Q3343)
Abiemeg (Q1309154)	Dinka (din) (din, Q5646)
Abipon (axb) (axb, Q1125253)	Guaicuruan (Q197497)
Abishira (ash) (ash, Q287174)	Tequiraca–Canichana (Q770144)
Abkhazian (ab) (ab, Q511)	Abazgi (Q466361)
Abkhazian (ab) (ab, Q511)	Northwest Caucasian (Q3385)
Abon (abo) (abo, Q3512)	Tivoid (Q75237)
Abron (abr) (abr, Q3483)	Akan (ak) (ak, Q2802)
Abron (abr) (abr, Q3483)	Central Tano (Q165848)
Abu (ado) (ado, Q5665)	Grass (Q559748)
Abu' Arapesh (aah) (aah, Q467071)	Arapesh (Q478422)
Abua (abn) (abn, Q3483)	Central Delta (Q381319)
Abua-Odual (Q1262650)	Central Delta (Q381319)
Abui (abz) (abz, Q282211)	Alor–Pantar (Q350242)
Abure (abu) (abu, Q3476)	Kwa (Q3343)
Abureni (mgj) (mgj, Q344125)	Central Delta (Q381319)
Abé (aba) (aba, Q3483)	Kwa (Q3343)
Acatepec Me'phaa (tpx) (tpx, Q3115788)	Tlapanec (Q3686)
Acazulco Otomi (Q467223)	Otomian languages (oto) (oto, Q3635)
Acehnese (ace) (ace, Q2768)	Chamic languages (cmc) (cmc, Q299750)
Achagua (aca) (aca, Q282298)	Upper Amazon Arawakan (Q789845)
Achang (acn) (acn, Q1088427)	Achang (acn) (acn, Q5658)
Achang (acn) (acn, Q5658)	Burmish (Q86571)
Ache (yif) (yif, Q1094982)	Nisoish (Q5699)
Acheron (acz) (acz, Q3476)	Talodi (Q1264330)
Achi (acr) (acr, Q3477)	Quichean (Q727165)
Achterhoeks (act) (act, Q15362)	Low Saxon (nds-NL) (nds-NL, Q51613)
Achuar Chicham (Q12100845)	Chicham (Q139307)
Achuar-Shiwiar (acu) (acu, Q282317)	Chicham (Q139307)
Achumawi (acv) (acv, Q5666)	Palaihnihan (Q128833)
Aché (guq) (guq, Q38370)	Guarani (Q299749)
Acoli (ach) (ach, Q3492)	Nilotic (Q51340)
Acoli (ach) (ach, Q3492)	Western Nilotic (Q311498)
Acroá (acs) (acs, Q282914)	Jê (Q148359)
Adai (xad) (xad, Q34674)	Q5173 (Q5173)
Adamawa (Q3290)	Adamawa–Ubangi (Q35153)
