lang	langCode
http://www.wikidata.org/entity/Q100103	vls
http://www.wikidata.org/entity/Q100148307	zh-HK
http://www.wikidata.org/entity/Q1002956	bku
http://www.wikidata.org/entity/Q1012917	wuh
http://www.wikidata.org/entity/Q10134	tlh
http://www.wikidata.org/entity/Q101416598	und-Latn
http://www.wikidata.org/entity/Q101416612	und-Cyrl
http://www.wikidata.org/entity/Q1017152	bqw
http://www.wikidata.org/entity/Q10179	zu
http://www.wikidata.org/entity/Q10188	zun
http://www.wikidata.org/entity/Q10195	zwa
http://www.wikidata.org/entity/Q10196	oc-aranes
http://www.wikidata.org/entity/Q10199	zza
http://www.wikidata.org/entity/Q10206	zro
http://www.wikidata.org/entity/Q102172	li
http://www.wikidata.org/entity/Q1025090	cdd
http://www.wikidata.org/entity/Q10261559	kea-sotav
http://www.wikidata.org/entity/Q10265988	pt-u-sd-pt20
http://www.wikidata.org/entity/Q10265992	pt-BR-u-sd-brdf
http://www.wikidata.org/entity/Q10265997	pt-BR-u-sd-brce
http://www.wikidata.org/entity/Q10266010	pah
http://www.wikidata.org/entity/Q10266012	urz
http://www.wikidata.org/entity/Q1026812	en-u-sd-usca
http://www.wikidata.org/entity/Q10322066	kpj
http://www.wikidata.org/entity/Q10322099	cds
http://www.wikidata.org/entity/Q10322106	ukl
http://www.wikidata.org/entity/Q10322118	ywn
http://www.wikidata.org/entity/Q10322149	mdz
http://www.wikidata.org/entity/Q10322157	tqb
http://www.wikidata.org/entity/Q1032453	xhd
http://www.wikidata.org/entity/Q10352067	pt-IN
http://www.wikidata.org/entity/Q1039346	sii
http://www.wikidata.org/entity/Q10412317	amx
http://www.wikidata.org/entity/Q10425920	drl
http://www.wikidata.org/entity/Q10427485	bxj
http://www.wikidata.org/entity/Q10441336	cmt
http://www.wikidata.org/entity/Q10465931	dgn
http://www.wikidata.org/entity/Q10467281	dax
http://www.wikidata.org/entity/Q10470289	dhr
http://www.wikidata.org/entity/Q10474818	djf
http://www.wikidata.org/entity/Q104876826	en-ZW
http://www.wikidata.org/entity/Q10488401	err
http://www.wikidata.org/entity/Q1048980	cmn-SG
http://www.wikidata.org/entity/Q10502327	gma
http://www.wikidata.org/entity/Q10510360	gdc
http://www.wikidata.org/entity/Q10510745	gnn
http://www.wikidata.org/entity/Q10510783	gyf
http://www.wikidata.org/entity/Q10511001	gyy
http://www.wikidata.org/entity/Q10511004	guf
http://www.wikidata.org/entity/Q10511016	gue
http://www.wikidata.org/entity/Q10511225	gwu
http://www.wikidata.org/entity/Q10511230	gvy
http://www.wikidata.org/entity/Q10543322	kbe
http://www.wikidata.org/entity/Q10547021	ktd
http://www.wikidata.org/entity/Q10549839	kux
http://www.wikidata.org/entity/Q10549849	xmh
http://www.wikidata.org/entity/Q10549851	xmq
http://www.wikidata.org/entity/Q10549852	xmp
http://www.wikidata.org/entity/Q10549854	ugb
http://www.wikidata.org/entity/Q10550183	gdj
http://www.wikidata.org/entity/Q10550184	kgl
http://www.wikidata.org/entity/Q10550697	kuy
http://www.wikidata.org/entity/Q10551249	gww
http://www.wikidata.org/entity/Q1055287	ysn
http://www.wikidata.org/entity/Q105627498	gku
http://www.wikidata.org/entity/Q10566515	ipo
http://www.wikidata.org/entity/Q105710152	tl-Tglg
http://www.wikidata.org/entity/Q10575155	zml
http://www.wikidata.org/entity/Q10575729	mjp
http://www.wikidata.org/entity/Q10576338	zmk
http://www.wikidata.org/entity/Q10576387	zme
http://www.wikidata.org/entity/Q10576453	mju
http://www.wikidata.org/entity/Q10577017	zmc
http://www.wikidata.org/entity/Q10577273	zmd
http://www.wikidata.org/entity/Q10577274	zmj
http://www.wikidata.org/entity/Q10577424	zmm
http://www.wikidata.org/entity/Q10577443	zmt
http://www.wikidata.org/entity/Q10577501	zmy
