lang	langLabel
http://www.wikidata.org/entity/Q1002956	Buhid
http://www.wikidata.org/entity/Q10048570	Tou Bei Dialect
http://www.wikidata.org/entity/Q100998195	Q100998195
http://www.wikidata.org/entity/Q101145386	Q101145386
http://www.wikidata.org/entity/Q1012917	Wutun
http://www.wikidata.org/entity/Q101541409	Piripkura
http://www.wikidata.org/entity/Q1017152	Buru
http://www.wikidata.org/entity/Q10179	Zulu
http://www.wikidata.org/entity/Q1018179	Q1018179
http://www.wikidata.org/entity/Q10188	Zuni
http://www.wikidata.org/entity/Q10195	Zay
http://www.wikidata.org/entity/Q10199	Zazaki
http://www.wikidata.org/entity/Q10206	Záparo
http://www.wikidata.org/entity/Q102172	Limburgish
http://www.wikidata.org/entity/Q1022087	Kra languages
http://www.wikidata.org/entity/Q102252955	Early Modern Irish
http://www.wikidata.org/entity/Q1023641	Kam–Sui languages
http://www.wikidata.org/entity/Q1023648	Hlai languages
http://www.wikidata.org/entity/Q1025090	Caddoan languages
http://www.wikidata.org/entity/Q1025793	Cahuapanan languages
http://www.wikidata.org/entity/Q10265993	Q10265993
http://www.wikidata.org/entity/Q10266010	Tenharim
http://www.wikidata.org/entity/Q10266012	Uru-eu-wau-wau
http://www.wikidata.org/entity/Q10322055	Q10322055
http://www.wikidata.org/entity/Q10322066	Karajá
http://www.wikidata.org/entity/Q10322118	Yawanawa
http://www.wikidata.org/entity/Q10322149	Suruí do Pará
http://www.wikidata.org/entity/Q10322157	Tembé
http://www.wikidata.org/entity/Q1032453	Hadramautic
http://www.wikidata.org/entity/Q1033184	Cangin languages
http://www.wikidata.org/entity/Q1039346	Shompen
http://www.wikidata.org/entity/Q10408315	Q10408315
http://www.wikidata.org/entity/Q1040944	Khuzestani Arabic
http://www.wikidata.org/entity/Q10412317	Anmatyerre
http://www.wikidata.org/entity/Q1041317	Wotu–Wolio languages
http://www.wikidata.org/entity/Q1041765	Jopará
http://www.wikidata.org/entity/Q10417916	Q10417916
http://www.wikidata.org/entity/Q104224080	Mbessa
http://www.wikidata.org/entity/Q10425920	Bandjigali
http://www.wikidata.org/entity/Q10427485	Bayungu
http://www.wikidata.org/entity/Q104286398	Lower Ucayali languages
http://www.wikidata.org/entity/Q10433128	Borgarmålet
http://www.wikidata.org/entity/Q1043515	Landsmål
http://www.wikidata.org/entity/Q10441336	Camtho
http://www.wikidata.org/entity/Q10465931	Dagoman
http://www.wikidata.org/entity/Q10467281	Dayi
http://www.wikidata.org/entity/Q10470289	Dhargari
http://www.wikidata.org/entity/Q10474818	Djangun
http://www.wikidata.org/entity/Q10488401	Erre
http://www.wikidata.org/entity/Q10498012	Q10498012
http://www.wikidata.org/entity/Q10502327	Gambera
http://www.wikidata.org/entity/Q105062703	Sabela
http://www.wikidata.org/entity/Q105092416	Yãnoma
http://www.wikidata.org/entity/Q10510360	Gugu Badhun
http://www.wikidata.org/entity/Q10510745	Gumatj
http://www.wikidata.org/entity/Q10510783	Gungabula
http://www.wikidata.org/entity/Q10511001	Gunya
http://www.wikidata.org/entity/Q10511004	Gupapuyngu
http://www.wikidata.org/entity/Q10511016	Gurinji
http://www.wikidata.org/entity/Q10511225	Guwamu
http://www.wikidata.org/entity/Q10511230	Guyani
http://www.wikidata.org/entity/Q105150962	Bauni
http://www.wikidata.org/entity/Q105161535	Ruwila
http://www.wikidata.org/entity/Q105196606	Eastern Minyag
http://www.wikidata.org/entity/Q105196607	Western Minyag
http://www.wikidata.org/entity/Q105196677	Zula
http://www.wikidata.org/entity/Q105198599	Ngoni (Mozambique)
http://www.wikidata.org/entity/Q105198600	Ngoni (Tanzania)
http://www.wikidata.org/entity/Q105198619	Khah
http://www.wikidata.org/entity/Q105198636	Koro Nulu
http://www.wikidata.org/entity/Q105198637	Koro Zuba
http://www.wikidata.org/entity/Q105198681	Kadung
http://www.wikidata.org/entity/Q105198682	Bijim
http://www.wikidata.org/entity/Q105198683	Tiyaa
http://www.wikidata.org/entity/Q105198744	Kobo
http://www.wikidata.org/entity/Q105288428	Moundadan Chetty
http://www.wikidata.org/entity/Q10543322	Kanju
http://www.wikidata.org/entity/Q10547021	Kokata
http://www.wikidata.org/entity/Q10549839	Kukatja
http://www.wikidata.org/entity/Q10549849	Kuku-Muminh
http://www.wikidata.org/entity/Q10549851	Kuku-Mangk
http://www.wikidata.org/entity/Q10549852	Kuku-Mu'inh
